Classification,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6
Not Classified,3.25,2.33,3.33,3.2,3.17,3.5
Not Classified,2.75,2.67,1.5,1.6,2.17,2.33
Not Classified,2.75,2.67,2.5,2.6,3.33,2.67
Not Classified,2.75,3,2.17,2.4,2.83,3.67
Not Classified,1.75,2,1.83,2.6,2.67,3.33
Not Classified,2.5,2,2,1.8,1.83,1.67
Not Classified,2.25,1.67,1.67,2.6,2.5,2
Not Classified,3,1,1.67,2.6,2.83,1.67
Not Classified,3.5,3,2,2.4,1.83,1.33
Not Classified,2.75,3.67,3.17,3.6,3.17,3.67
Not Classified,3,2.33,3.33,3.2,1.67,2.5
Not Classified,2.5,3,3,2.8,2.17,1.83
Not Classified,2.75,1,1.83,3.2,3,2.33
Not Classified,1,1.33,1.67,2.4,1.17,1
Not Classified,2,2.67,2.5,3.2,2.5,2.67
Not Classified,3.25,2.33,1.5,2.2,2.33,2
Not Classified,1.75,2,1.33,2.2,2.33,2
Not Classified,2.25,2,1.5,3.2,3,2.5
Not Classified,1.75,2.33,2.5,2.8,2.5,2
Not Classified,2,1.33,1.67,2.6,1.83,1.67
Not Classified,1.75,1.67,1.83,1.4,1.5,0
Not Classified,2,2,1.83,2.2,2.33,2.33
Not Classified,2,2.33,2.33,2.4,2.33,2.33
Not Classified,1.25,1,0.5,1,0.67,0
Not Classified,3.5,2.67,2.67,3,1.17,2
Not Classified,2.25,3.33,2.67,1.8,2,1.67
Not Classified,3,3.67,2.17,2.8,1.5,2.33
Not Classified,1.25,0.67,0.5,0.2,2.5,1.67
Not Classified,3,3,2.5,2.4,2.83,2.83
Not Classified,1.5,2,2,2.2,1.83,2.17
Not Classified,2.5,2.33,1,1.6,1.33,1
Not Classified,2.5,3.33,2.83,3.2,2.83,3.67
Not Classified,2.5,3,2.5,2.4,1.67,2.17
Not Classified,3.5,3.33,2.67,3,2.17,3.5
Not Classified,1.25,2,2,2.2,1,1.67
Not Classified,2.75,3,2.67,2.8,2.17,3
Not Classified,1.5,2.33,2.33,2.8,2.67,2.5
Not Classified,2.25,3,2.83,3.2,3,3.17
Not Classified,2.25,3,1.67,1.8,2.83,2.33
Not Classified,2,3,2.5,3.2,1.83,2
Not Classified,2,1.67,1.83,3.2,1.5,2.5
Not Classified,2.25,2.33,1.83,2,2,2.5
Not Classified,2,2.33,2.5,3,2.5,2
Not Classified,2.25,1.33,1.67,1.6,1.33,0.67
Not Classified,2,2,1.5,1.4,1.5,0.67
Not Classified,2.75,2.67,1.5,2,1.67,1.83
Not Classified,2,2.33,1.67,2.6,1.67,2
Not Classified,2.75,3.33,2.17,3,3.5,3.17
Not Classified,3,3,2.17,2.4,2.83,3
Not Classified,3.25,2.67,1.83,3,2.5,3.17
Not Classified,2.5,2,2.83,3.4,3.17,3.67
Not Classified,2.5,2.67,1.5,2.4,2.17,1.17
Not Classified,1.5,1.67,1.17,1.6,2.17,2
Not Classified,3,2.67,2.17,2.2,1.67,1.33
Not Classified,1.75,1.67,1.67,2.2,2,1.33
Not Classified,1.25,2.33,1.67,2.2,1.83,1.33
Not Classified,2.25,2,1.83,2.4,3,2.33
Not Classified,3.25,2.67,2,2.8,2.33,3
Not Classified,2.75,3,2.33,2,2.33,1.5
Not Classified,2.75,3.33,2.5,3,3.33,3.67
Not Classified,2.25,2.33,2,2.8,2.5,2
Not Classified,1.25,2.33,2,2.8,2.83,2.17
Not Classified,2,1,1.83,2.4,2,2
Not Classified,2.25,2,2.33,3.2,3,2.5
Not Classified,2.5,2.67,2,3.6,2.83,2.33
Not Classified,1.25,2.33,1.33,2.2,2,2.5
Not Classified,2.5,2,2,3.4,2.83,3
Not Classified,1.75,1.33,1.33,1.8,1.17,0.83
Not Classified,1.25,1,0.67,1,0.5,0.5
Not Classified,1.5,2,2,2.6,2.5,2.33
Not Classified,2.25,3.33,3.5,3.8,3.5,3
Not Classified,3,3,2.67,3.8,2.83,2
Not Classified,2.75,2.67,2.33,2.4,2.67,1.83
Not Classified,2.5,2.67,3.17,3.2,2.67,1.67
Not Classified,2.25,2.33,2,2.8,2,2
Not Classified,2.25,1.67,2.33,1.8,2.67,2.17
Not Classified,1.25,2.33,3,2.6,2.5,2.17
Not Classified,3.25,4,3.33,3,3.33,2.83
Not Classified,2.75,3.33,3.5,3.2,3.5,3.33
Not Classified,3,3,2.67,2.8,2.5,1.83
Not Classified,1.25,2.33,0.83,0.6,0.5,0.33
Not Classified,2,2.67,3,3.6,3.5,2.83
Not Classified,1.75,1.67,1.83,1.8,2.33,1.17
Not Classified,2,2,1.83,2,2.33,2.5
Not Classified,2.5,3.33,2.17,3.8,3.17,3.5
Not Classified,2.75,2.33,3.17,3.2,3.17,3
Not Classified,2.25,1,1.5,1.8,1.67,1.17
Not Classified,1.75,1.67,1.83,1.6,2.67,1.5
Not Classified,1.25,2.67,2.5,2.6,3.17,2.5
Not Classified,2,2.33,1.5,2.6,2,1.33
Not Classified,2.25,2.33,1,0.8,1.17,0
Not Classified,2.75,3,2,3.4,3.33,2.5
Not Classified,1.25,1.33,1.5,1.8,1.33,2
Not Classified,2.25,2,1.83,1.2,2,0
Not Classified,2.5,3,2.67,3.2,2.33,2.33
Not Classified,2.25,1.33,2.33,2.6,2.33,2.17
Not Classified,1.5,0.67,1.5,1.6,1.5,0
Not Classified,2.75,3.67,2.83,3.8,3.33,2.67
Not Classified,2.75,3,1.83,2.4,2.17,1.5
Not Classified,2.5,1.67,2.17,3,2.5,2.33
Not Classified,1.75,0.67,1.33,1.2,1.17,0.17
Not Classified,1.5,1.67,1.33,2,2.67,1.17
Not Classified,3,2,2.17,3,2.83,2.5
Not Classified,2,2.33,1.83,2.4,2.17,0.67
Not Classified,2.75,2,2.17,3,2.5,1.67
Not Classified,2.75,2.67,2.5,2.4,2.17,1.5
Not Classified,1.5,2.33,2.33,2.6,2,1.17
Not Classified,1.5,1,1.67,2,1,0.67
Not Classified,2,2.67,2.17,2.6,2.5,2.5
Not Classified,1.5,2,2.5,2.2,2.33,2.5
Not Classified,1.75,2,2.17,2.8,2.33,1.83
Not Classified,3,3,2.33,2.4,3.33,2.5
Not Classified,3,2.67,4,3.6,3.33,3.67
Not Classified,2.75,2,2.17,2.6,2.5,2.33
Not Classified,3.5,3.67,3.67,3.8,3,3
Not Classified,2.25,2.33,1.67,1.6,1.67,0.5
Not Classified,3,3.67,3,2.6,2.17,2
Not Classified,2.75,3.33,2.67,3.8,2.83,2.67
Not Classified,2.25,1.33,1.83,1.6,2.67,1.83
Not Classified,2,2,1.83,1.2,1.83,1.33
Not Classified,2.5,2.67,2,1.8,1.33,1
Not Classified,1,1.67,0.83,1.6,1,1.17
Not Classified,3.5,4,3,3.6,3.5,3.33
Not Classified,1.5,1.67,1,2.2,1.33,1.33
Not Classified,3.25,3,3.17,3.2,2,3.17
Not Classified,2,3.33,2.17,3.4,2.5,2
Not Classified,2.75,2.67,2.17,2.4,2.33,2.5
Not Classified,2.75,2.67,3.17,3.8,2.83,2.33
Not Classified,3.25,3.67,3.17,3.2,2.83,3
Not Classified,1.5,1.33,1.83,2.2,1.5,1.67
Not Classified,2,3,2.17,2.2,1.67,2
Not Classified,2.25,3,2.83,2,2.5,2.17
Not Classified,1.75,2.33,2.67,2.6,2.5,1.33
Not Classified,2.75,2.67,1.83,1.8,2.33,1.17
Not Classified,1.75,3,2,1.6,2,2
Not Classified,3,2,2.17,2.2,2.5,1.5
Not Classified,3,3.33,2.83,3.4,2.33,2.67
Not Classified,2.5,1,1.67,1.8,1.67,0.5
